Instr,IPC,CPI
361585955.000000,0.714420,1.399738,9
362413653.000000,0.714031,1.400500,9
363829255.000000,0.715239,1.398134,9
363538381.000000,0.714902,1.398793,9
363273213.000000,0.714405,1.399765,9
365475298.000000,0.715106,1.398394,9
362799792.000000,0.709866,1.408717,9
365599896.000000,0.714438,1.399701,9
364437419.000000,0.712423,1.403660,9
363391247.000000,0.709232,1.409976,9
364097246.000000,0.710329,1.407799,9
364701910.000000,0.711540,1.405402,9
364347923.000000,0.710279,1.407898,9
363875438.000000,0.707889,1.412651,9
366787744.000000,0.708991,1.410455,9
371315496.000000,0.716243,1.396174,9
368243328.000000,0.709821,1.408805,9
369386901.000000,0.712327,1.403849,9
368720654.000000,0.710466,1.407527,9
368526737.000000,0.708497,1.411438,9
368513692.000000,0.707305,1.413818,9
368389754.000000,0.706981,1.414466,9
370443122.000000,0.709542,1.409359,9
370825746.000000,0.709899,1.408652,9
374378925.000000,0.715784,1.397069,9
372882882.000000,0.712977,1.402570,9
372809276.000000,0.711611,1.405262,9
373815626.000000,0.712730,1.403055,9
371033854.000000,0.707796,1.412836,9
373160202.000000,0.711061,1.406350,9
371107580.000000,0.707632,1.413164,9
373404334.000000,0.712278,1.403946,9
370885236.000000,0.706897,1.414633,9
373193660.000000,0.710863,1.406741,9
370925342.000000,0.707009,1.414410,9
373010939.000000,0.710779,1.406906,9
375850158.000000,0.715834,1.396973,9
373800688.000000,0.711536,1.405410,9
372367424.000000,0.707720,1.412989,9
371116185.000000,0.705480,1.417475,9
371620746.000000,0.704744,1.418956,9
377110675.000000,0.715586,1.397456,9
374064256.000000,0.709463,1.409517,9
374180081.000000,0.709465,1.409513,9
376946497.000000,0.714367,1.399842,9
371443916.000000,0.704737,1.418969,9
374191446.000000,0.709974,1.408501,9
374391364.000000,0.710174,1.408105,9
377079321.000000,0.713178,1.402174,9
373822912.000000,0.708145,1.412141,9
374740768.000000,0.708166,1.412098,9
374530704.000000,0.708152,1.412125,9
374521446.000000,0.706986,1.414455,9
377060622.000000,0.711759,1.404969,9
378117381.000000,0.713350,1.401837,9
376924643.000000,0.709764,1.408920,9
379565883.000000,0.714300,1.399971,9
374337887.000000,0.704157,1.420138,9
380747496.000000,0.714241,1.400087,9
379314589.000000,0.711536,1.405411,9
374827293.000000,0.703406,1.421653,9
378498653.000000,0.709242,1.409955,9
378659863.000000,0.708834,1.410767,9
380776619.000000,0.712465,1.403578,9
378489161.000000,0.707679,1.413071,9
381234839.000000,0.711453,1.405573,9
381228634.000000,0.711974,1.404547,9
382703690.000000,0.713137,1.402255,9
380471255.000000,0.707388,1.413652,9
382371487.000000,0.710171,1.408111,9
381803464.000000,0.709106,1.410227,9
381632474.000000,0.709094,1.410250,9
382302712.000000,0.708283,1.411865,9
383315923.000000,0.708593,1.411247,9
384506078.000000,0.708441,1.411551,9
384990397.000000,0.707742,1.412944,9
385309682.000000,0.707753,1.412923,9
385016953.000000,0.708120,1.412189,9
385799550.000000,0.708471,1.411489,9
383941215.000000,0.705814,1.416803,9
384859118.000000,0.706712,1.415004,9
384799370.000000,0.707316,1.413795,9
384635419.000000,0.706199,1.416032,9
384802858.000000,0.706168,1.416094,9
385751478.000000,0.706590,1.415249,9
